x,y,height,momentum_x
0.01,0.01,8.71292,11.4783
0.03,0.01,8.69418,11.6266
0.05,0.01,8.67545,11.7742
0.07,0.01,8.65673,11.9212
0.09,0.01,8.63802,12.0675
0.11,0.01,8.61932,12.2132
0.13,0.01,8.60064,12.3582
0.15,0.01,8.58197,12.5026
0.17,0.01,8.56331,12.6463
0.19,0.01,8.54467,12.7893
0.21,0.01,8.52605,12.9316
0.23,0.01,8.50744,13.0732
0.25,0.01,8.48886,13.2141
0.27,0.01,8.47029,13.3544
0.29,0.01,8.45174,13.4939
0.31,0.01,8.43322,13.6327
0.33,0.01,8.41471,13.7708
0.35,0.01,8.39623,13.9081
0.37,0.01,8.37778,14.0447
0.39,0.01,8.35935,14.1806
0.41,0.01,8.34094,14.3158
0.43,0.01,8.32256,14.4502
0.45,0.01,8.30421,14.5838
0.47,0.01,8.28588,14.7167
0.49,0.01,8.26759,14.8488
0.51,0.01,8.24933,14.9802
0.53,0.01,8.2311,15.1108
0.55,0.01,8.2129,15.2406
0.57,0.01,8.19473,15.3696
0.59,0.01,8.17661,15.4979
0.61,0.01,8.15851,15.6253
0.63,0.01,8.14046,15.7519
0.65,0.01,8.12245,15.8778
0.67,0.01,8.10448,16.0027
0.69,0.01,8.08655,16.1269
0.71,0.01,8.06866,16.2502
0.73,0.01,8.05082,16.3727
0.75,0.01,8.03303,16.4944
0.77,0.01,8.01529,16.6152
0.79,0.01,7.9976,16.735
0.81,0.01,7.97996,16.8541
0.83,0.01,7.96238,16.9722
0.85,0.01,7.94486,17.0894
0.87,0.01,7.9274,17.2057
0.89,0.01,7.91001,17.3211
0.91,0.01,7.89268,17.4355
0.93,0.01,7.87542,17.549
0.95,0.01,7.85823,17.6614
0.97,0.01,7.84113,17.7729
0.99,0.01,7.8241,17.8834
1.01,0.01,7.80716,17.9928
1.03,0.01,7.7903,18.1012
1.05,0.01,7.77354,18.2085
1.07,0.01,7.75688,18.3147
1.09,0.01,7.74033,18.4197
1.11,0.01,7.72388,18.5236
1.13,0.01,7.70755,18.6263
1.15,0.01,7.69134,18.7278
1.17,0.01,7.67527,18.8281
1.19,0.01,7.65933,18.927
1.21,0.01,7.64353,19.0247
1.23,0.01,7.62789,19.1209
1.25,0.01,7.61241,19.2158
1.27,0.01,7.59711,19.3091
1.29,0.01,7.58199,19.401
