x,y,height,momentum_x
0.01,0.01,9.93743,0.616537
0.03,0.01,9.92887,0.700452
0.05,0.01,9.91959,0.791308
0.07,0.01,9.90958,0.88911
0.09,0.01,9.89885,0.993827
0.11,0.01,9.8874,1.10538
0.13,0.01,9.87524,1.22362
0.15,0.01,9.86238,1.34841
0.17,0.01,9.84885,1.47952
0.19,0.01,9.83465,1.61673
0.21,0.01,9.81981,1.75979
0.23,0.01,9.80436,1.90842
0.25,0.01,9.78832,2.06233
0.27,0.01,9.77172,2.22123
0.29,0.01,9.75458,2.38485
0.31,0.01,9.73693,2.55287
0.33,0.01,9.71879,2.72501
0.35,0.01,9.7002,2.90098
0.37,0.01,9.68118,3.08048
0.39,0.01,9.66175,3.26325
0.41,0.01,9.64194,3.44901
0.43,0.01,9.62177,3.63751
0.45,0.01,9.60127,3.82849
0.47,0.01,9.58046,4.02174
0.49,0.01,9.55935,4.21702
0.51,0.01,9.53798,4.41413
0.53,0.01,9.51634,4.61288
0.55,0.01,9.49448,4.81308
0.57,0.01,9.47239,5.01453
0.59,0.01,9.4501,5.21709
0.61,0.01,9.42762,5.42059
0.63,0.01,9.40496,5.6249
0.65,0.01,9.38215,5.82986
0.67,0.01,9.35918,6.03536
0.69,0.01,9.33608,6.24127
0.71,0.01,9.31285,6.44749
0.73,0.01,9.2895,6.65391
0.75,0.01,9.26605,6.86044
0.77,0.01,9.2425,7.06698
0.79,0.01,9.21885,7.27345
0.81,0.01,9.19513,7.47977
0.83,0.01,9.17132,7.68587
0.85,0.01,9.14745,7.89168
0.87,0.01,9.12352,8.09714
0.89,0.01,9.09953,8.30218
0.91,0.01,9.0755,8.50675
0.93,0.01,9.05141,8.71079
0.95,0.01,9.02729,8.91426
0.97,0.01,9.00314,9.11711
0.99,0.01,8.97895,9.3193
1.01,0.01,8.95474,9.52078
1.03,0.01,8.9305,9.72153
1.05,0.01,8.90625,9.92151
1.07,0.01,8.88198,10.1207
1.09,0.01,8.85771,10.319
1.11,0.01,8.83342,10.5165
1.13,0.01,8.80913,10.713
1.15,0.01,8.78484,10.9086
1.17,0.01,8.76055,11.1033
1.19,0.01,8.73627,11.297
1.21,0.01,8.71199,11.4897
1.23,0.01,8.68772,11.6814
1.25,0.01,8.66347,11.8721
1.27,0.01,8.63923,12.0617
1.29,0.01,8.61501,12.2502
1.31,0.01,8.59081,12.4377
1.33,0.01,8.56663,12.624
1.35,0.01,8.54247,12.8092
1.37,0.01,8.51835,12.9932
1.39,0.01,8.49425,13.1761
1.41,0.01,8.47018,13.3578
1.43,0.01,8.44615,13.5384
1.45,0.01,8.42215,13.7177
1.47,0.01,8.39819,13.8958
1.49,0.01,8.37428,14.0727
1.51,0.01,8.3504,14.2483
1.53,0.01,8.32657,14.4227
1.55,0.01,8.30279,14.5958
1.57,0.01,8.27907,14.7676
1.59,0.01,8.25539,14.9381
1.61,0.01,8.23177,15.1073
1.63,0.01,8.20822,15.2751
1.65,0.01,8.18472,15.4416
1.67,0.01,8.16129,15.6067
1.69,0.01,8.13794,15.7704
1.71,0.01,8.11465,15.9328
1.73,0.01,8.09144,16.0937
1.75,0.01,8.06831,16.2531
1.77,0.01,8.04527,16.4111
1.79,0.01,8.02232,16.5676
1.81,0.01,7.99946,16.7225
1.83,0.01,7.97671,16.876
1.85,0.01,7.95406,17.0278
1.87,0.01,7.93152,17.1781
1.89,0.01,7.9091,17.3267
1.91,0.01,7.8868,17.4737
1.93,0.01,7.86464,17.619
1.95,0.01,7.84262,17.7625
1.97,0.01,7.82075,17.9042
1.99,0.01,7.79905,18.0442
2.01,0.01,7.77751,18.1822
2.03,0.01,7.75615,18.3183
2.05,0.01,7.73498,18.4524
2.07,0.01,7.71402,18.5845
2.09,0.01,7.69328,18.7144
2.11,0.01,7.67278,18.8422
2.13,0.01,7.65252,18.9677
2.15,0.01,7.63254,19.0908
2.17,0.01,7.61284,19.2115
2.19,0.01,7.59345,19.3297
2.21,0.01,7.5744,19.4452
2.23,0.01,7.55569,19.558
2.25,0.01,7.53736,19.668
2.27,0.01,7.51944,19.7749
2.29,0.01,7.50194,19.8788
2.31,0.01,7.48491,19.9795
2.33,0.01,7.46837,20.0767
2.35,0.01,7.45234,20.1705
2.37,0.01,7.43687,20.2606
2.39,0.01,7.42198,20.3469
2.41,0.01,7.40771,20.4293
2.43,0.01,7.39408,20.5076
2.45,0.01,7.38113,20.5818
2.47,0.01,7.36889,20.6517
2.49,0.01,7.35737,20.7171
2.51,0.01,7.34659,20.7782
2.53,0.01,7.33658,20.8347
2.55,0.01,7.32735,20.8867
2.57,0.01,7.31889,20.9341
2.59,0.01,7.31121,20.9772
2.61,0.01,7.3043,21.0158
2.63,0.01,7.29813,21.0502
2.65,0.01,7.29268,21.0805
2.67,0.01,7.28792,21.107
2.69,0.01,7.2838,21.1298
2.71,0.01,7.28029,21.1492
2.73,0.01,7.27734,21.1656
2.75,0.01,7.27488,21.1792
2.77,0.01,7.27287,21.1903
2.79,0.01,7.27125,21.1992
2.81,0.01,7.26998,21.2062
2.83,0.01,7.26898,21.2117
2.85,0.01,7.26823,21.2158
2.87,0.01,7.26768,21.2188
2.89,0.01,7.26729,21.221
2.91,0.01,7.26702,21.2224
2.93,0.01,7.26686,21.2233
2.95,0.01,7.26677,21.2238
2.97,0.01,7.26673,21.224
2.99,0.01,7.26673,21.2239
3.01,0.01,7.26677,21.2237
3.03,0.01,7.26682,21.2234
3.05,0.01,7.26688,21.223
3.07,0.01,7.26695,21.2226
3.09,0.01,7.26702,21.2222
3.11,0.01,7.2671,21.2217
3.13,0.01,7.26717,21.2213
3.15,0.01,7.26724,21.2209
3.17,0.01,7.26731,21.2205
3.19,0.01,7.26737,21.2201
3.21,0.01,7.26743,21.2197
3.23,0.01,7.26749,21.2194
3.25,0.01,7.26754,21.2191
3.27,0.01,7.26759,21.2188
3.29,0.01,7.26764,21.2185
3.31,0.01,7.26768,21.2182
3.33,0.01,7.26772,21.2179
3.35,0.01,7.26776,21.2177
3.37,0.01,7.2678,21.2175
3.39,0.01,7.26784,21.2172
3.41,0.01,7.26787,21.217
3.43,0.01,7.2679,21.2168
3.45,0.01,7.26793,21.2166
3.47,0.01,7.26796,21.2164
3.49,0.01,7.26798,21.2163
3.51,0.01,7.26801,21.2161
3.53,0.01,7.26803,21.216
3.55,0.01,7.26805,21.2158
