x,y,height,momentum_x
0.01,0.01,10,0
0.03,0.01,10,0
0.05,0.01,10,0
0.07,0.01,10,0
0.09,0.01,10,0
0.11,0.01,10,0
0.13,0.01,10,0
0.15,0.01,10,0
0.17,0.01,10,0
0.19,0.01,10,0
0.21,0.01,10,0
0.23,0.01,10,0
0.25,0.01,10,0
0.27,0.01,10,0
0.29,0.01,10,0
0.31,0.01,10,0
0.33,0.01,10,0
0.35,0.01,10,0
0.37,0.01,10,0
0.39,0.01,10,0
0.41,0.01,10,0
0.43,0.01,10,0
0.45,0.01,10,0
0.47,0.01,10,0
0.49,0.01,10,0
0.51,0.01,10,0
0.53,0.01,10,0
0.55,0.01,10,0
0.57,0.01,10,0
0.59,0.01,10,0
0.61,0.01,10,0
0.63,0.01,10,0
0.65,0.01,10,0
0.67,0.01,10,0
0.69,0.01,10,0
0.71,0.01,10,0
0.73,0.01,10,0
0.75,0.01,10,0
0.77,0.01,10,0
0.79,0.01,10,0
0.81,0.01,10,0
0.83,0.01,10,0
0.85,0.01,10,0
0.87,0.01,10,0
0.89,0.01,10,0
0.91,0.01,10,0
0.93,0.01,10,0
0.95,0.01,10,0
0.97,0.01,10,0
0.99,0.01,10,0
1.01,0.01,10,0
1.03,0.01,10,0
1.05,0.01,10,0
1.07,0.01,10,0
1.09,0.01,10,0
1.11,0.01,10,0
1.13,0.01,10,0
1.15,0.01,10,0
1.17,0.01,10,0
1.19,0.01,10,0
1.21,0.01,10,0
1.23,0.01,10,0
1.25,0.01,10,0
1.27,0.01,10,0
1.29,0.01,10,0
1.31,0.01,10,0
1.33,0.01,10,0
1.35,0.01,10,0
1.37,0.01,10,0
1.39,0.01,10,0
1.41,0.01,10,0
1.43,0.01,10,0
1.45,0.01,10,0
1.47,0.01,10,0
1.49,0.01,10,0
1.51,0.01,10,0
1.53,0.01,10,0
1.55,0.01,10,0
1.57,0.01,10,0
1.59,0.01,10,0
1.61,0.01,10,0
1.63,0.01,10,0
1.65,0.01,10,0
1.67,0.01,10,0
1.69,0.01,10,0
1.71,0.01,10,0
1.73,0.01,10,0
1.75,0.01,10,0
1.77,0.01,10,0
1.79,0.01,10,0
1.81,0.01,10,0
1.83,0.01,10,0
1.85,0.01,10,0
1.87,0.01,10,0
1.89,0.01,10,0
1.91,0.01,10,0
1.93,0.01,10,0
1.95,0.01,10,0
1.97,0.01,10,0
1.99,0.01,10,0
2.01,0.01,10,0
2.03,0.01,10,0
2.05,0.01,10,0
2.07,0.01,10,0
2.09,0.01,10,0
2.11,0.01,10,0
2.13,0.01,10,0
2.15,0.01,10,0
2.17,0.01,10,0
2.19,0.01,10,0
2.21,0.01,10,0
2.23,0.01,10,0
2.25,0.01,10,0
2.27,0.01,10,0
2.29,0.01,10,0
2.31,0.01,10,0
2.33,0.01,10,0
2.35,0.01,10,0
2.37,0.01,10,0
2.39,0.01,10,0
2.41,0.01,10,0
2.43,0.01,10,0
2.45,0.01,10,0
2.47,0.01,10,0
2.49,0.01,10,0
2.51,0.01,10,0
2.53,0.01,10,0
2.55,0.01,10,0
2.57,0.01,10,0
2.59,0.01,10,0
2.61,0.01,10,0
2.63,0.01,10,0
2.65,0.01,10,0
2.67,0.01,10,0
2.69,0.01,10,0
2.71,0.01,10,0
2.73,0.01,10,0
2.75,0.01,10,0
2.77,0.01,10,0
2.79,0.01,10,0
2.81,0.01,10,0
2.83,0.01,10,0
2.85,0.01,10,0
2.87,0.01,10,0
2.89,0.01,10,0
2.91,0.01,10,0
2.93,0.01,10,0
2.95,0.01,10,0
2.97,0.01,10,0
2.99,0.01,10,0
3.01,0.01,10,0
3.03,0.01,10,0
3.05,0.01,10,0
3.07,0.01,10,0
3.09,0.01,10,0
3.11,0.01,10,0
3.13,0.01,10,0
3.15,0.01,10,0
3.17,0.01,10,0
3.19,0.01,10,0
3.21,0.01,10,0
3.23,0.01,10,0
3.25,0.01,10,0
3.27,0.01,10,0
3.29,0.01,10,0
3.31,0.01,10,0
3.33,0.01,10,0
3.35,0.01,10,0
3.37,0.01,10,0
3.39,0.01,10,0
3.41,0.01,10,0
3.43,0.01,10,0
3.45,0.01,10,0
3.47,0.01,10,0
3.49,0.01,10,0
3.51,0.01,10,5.49471e-38
3.53,0.01,10,5.28959e-35
3.55,0.01,10,1.63967e-32
3.57,0.01,10,4.14373e-30
3.59,0.01,10,4.83144e-28
3.61,0.01,10,7.27648e-26
3.63,0.01,10,7.14769e-24
3.65,0.01,10,5.19499e-22
3.67,0.01,10,3.26139e-20
3.69,0.01,10,1.93125e-18
3.71,0.01,10,1.12049e-16
3.73,0.01,10,6.46917e-15
3.75,0.01,10,3.73239e-13
3.77,0.01,10,2.0796e-11
3.79,0.01,10,1.17605e-09
3.81,0.01,10,6.74765e-08
3.83,0.01,10,3.88264e-06
3.85,0.01,10,1.3655e-05
3.87,0.01,10,4.89634e-05
3.89,0.01,9.99998,0.000151687
3.91,0.01,9.99996,0.000425821
3.93,0.01,9.99989,0.00113944
3.95,0.01,9.99971,0.00284448
3.97,0.01,9.99933,0.00664441
3.99,0.01,9.99852,0.0146161
4.01,0.01,9.99694,0.0303214
4.03,0.01,9.994,0.0594003
4.05,0.01,9.98888,0.11006
4.07,0.01,9.98046,0.193198
4.09,0.01,9.9674,0.321992
4.11,0.01,9.9482,0.510775
4.13,0.01,9.92141,0.773329
4.15,0.01,9.88575,1.12101
4.17,0.01,9.84032,1.56114
4.19,0.01,9.78465,2.09608
4.21,0.01,9.71875,2.72325
4.23,0.01,9.64302,3.43572
4.25,0.01,9.55819,4.22336
4.27,0.01,9.4652,5.07407
4.29,0.01,9.36509,5.97496
4.31,0.01,9.25896,6.91319
4.33,0.01,9.14786,7.8766
4.35,0.01,9.0328,8.85407
4.37,0.01,8.91473,9.83558
4.39,0.01,8.79452,10.8123
4.41,0.01,8.67299,11.7764
4.43,0.01,8.55092,12.7211
4.45,0.01,8.42908,13.6402
4.47,0.01,8.30824,14.5281
4.49,0.01,8.18919,15.3796
4.51,0.01,8.0728,16.1897
4.53,0.01,7.96001,16.9535
4.55,0.01,7.8519,17.6658
4.57,0.01,7.74966,18.3217
4.59,0.01,7.65459,18.9157
4.61,0.01,7.56811,19.443
4.63,0.01,7.49157,19.8991
4.65,0.01,7.4262,20.2808
4.67,0.01,7.37277,20.5873
4.69,0.01,7.33143,20.821
4.71,0.01,7.30151,20.9881
4.73,0.01,7.28153,21.0986
4.75,0.01,7.26942,21.165
4.77,0.01,7.26292,21.2001
4.79,0.01,7.25999,21.2155
4.81,0.01,7.25904,21.2199
4.83,0.01,7.25903,21.2191
4.85,0.01,7.25939,21.2163
4.87,0.01,7.25983,21.2129
4.89,0.01,7.26025,21.2096
4.91,0.01,7.26062,21.2066
4.93,0.01,7.26094,21.2038
4.95,0.01,7.26121,21.2013
4.97,0.01,7.26145,21.1989
4.99,0.01,7.26165,21.1966
5.01,0.01,7.26182,21.1945
5.03,0.01,7.26197,21.1924
5.05,0.01,7.2621,21.1904
5.07,0.01,7.2622,21.1885
5.09,0.01,7.26229,21.1866
5.11,0.01,7.26236,21.1848
