x,y,height,momentum_x
0.01,0.01,8.53288,12.8779
0.03,0.01,8.51495,13.0146
0.05,0.01,8.49704,13.1506
0.07,0.01,8.47914,13.286
0.09,0.01,8.46126,13.4208
0.11,0.01,8.44341,13.5549
0.13,0.01,8.42557,13.6883
0.15,0.01,8.40775,13.8211
0.17,0.01,8.38995,13.9531
0.19,0.01,8.37218,14.0845
0.21,0.01,8.35443,14.2153
0.23,0.01,8.3367,14.3453
0.25,0.01,8.319,14.4747
0.27,0.01,8.30132,14.6033
0.29,0.01,8.28367,14.7312
0.31,0.01,8.26605,14.8585
0.33,0.01,8.24846,14.985
0.35,0.01,8.23089,15.1108
0.37,0.01,8.21336,15.2359
0.39,0.01,8.19586,15.3603
0.41,0.01,8.17838,15.4839
0.43,0.01,8.16095,15.6068
0.45,0.01,8.14355,15.7289
0.47,0.01,8.12618,15.8503
0.49,0.01,8.10885,15.971
0.51,0.01,8.09156,16.0909
0.53,0.01,8.07431,16.21
0.55,0.01,8.05711,16.3283
0.57,0.01,8.03994,16.4458
0.59,0.01,8.02282,16.5626
0.61,0.01,8.00575,16.6785
0.63,0.01,7.98872,16.7937
0.65,0.01,7.97175,16.908
0.67,0.01,7.95482,17.0215
0.69,0.01,7.93796,17.1341
0.71,0.01,7.92115,17.2459
0.73,0.01,7.90439,17.3569
0.75,0.01,7.88771,17.4669
0.77,0.01,7.87108,17.5761
0.79,0.01,7.85453,17.6843
0.81,0.01,7.83804,17.7917
0.83,0.01,7.82163,17.8981
0.85,0.01,7.8053,18.0035
0.87,0.01,7.78905,18.108
0.89,0.01,7.77289,18.2115
0.91,0.01,7.75681,18.3139
0.93,0.01,7.74084,18.4153
0.95,0.01,7.72496,18.5157
0.97,0.01,7.70919,18.615
0.99,0.01,7.69353,18.7131
1.01,0.01,7.67799,18.8101
1.03,0.01,7.66257,18.9059
1.05,0.01,7.64728,19.0005
1.07,0.01,7.63214,19.0938
1.09,0.01,7.61714,19.1859
1.11,0.01,7.6023,19.2766
1.13,0.01,7.58763,19.3659
1.15,0.01,7.57312,19.4538
1.17,0.01,7.55881,19.5403
1.19,0.01,7.54469,19.6252
1.21,0.01,7.53078,19.7085
1.23,0.01,7.51709,19.7901
1.25,0.01,7.50364,19.8701
1.27,0.01,7.49043,19.9483
1.29,0.01,7.47748,20.0246
1.31,0.01,7.46481,20.0991
1.33,0.01,7.45244,20.1715
1.35,0.01,7.44037,20.2419
1.37,0.01,7.42863,20.3102
1.39,0.01,7.41722,20.3762
