x,y,height,momentum_x
0.01,0.01,9.34168,6.1895
0.03,0.01,9.32133,6.37047
0.05,0.01,9.3009,6.55154
0.07,0.01,9.28039,6.73265
0.09,0.01,9.2598,6.91375
0.11,0.01,9.23915,7.09477
0.13,0.01,9.21844,7.27567
0.15,0.01,9.19768,7.45638
0.17,0.01,9.17686,7.63687
0.19,0.01,9.15599,7.8171
0.21,0.01,9.13509,7.99702
0.23,0.01,9.11414,8.17659
0.25,0.01,9.09316,8.35577
0.27,0.01,9.07214,8.53454
0.29,0.01,9.0511,8.71285
0.31,0.01,9.03003,8.89068
0.33,0.01,9.00894,9.068
0.35,0.01,8.98783,9.24477
0.37,0.01,8.9667,9.42099
0.39,0.01,8.94556,9.59663
0.41,0.01,8.92441,9.77166
0.43,0.01,8.90325,9.94607
0.45,0.01,8.88208,10.1198
0.47,0.01,8.8609,10.2929
0.49,0.01,8.83973,10.4653
0.51,0.01,8.81855,10.637
0.53,0.01,8.79737,10.808
0.55,0.01,8.7762,10.9783
0.57,0.01,8.75502,11.1478
0.59,0.01,8.73386,11.3165
0.61,0.01,8.7127,11.4845
0.63,0.01,8.69155,11.6517
0.65,0.01,8.67042,11.818
0.67,0.01,8.64929,11.9836
0.69,0.01,8.62818,12.1484
0.71,0.01,8.60708,12.3123
0.73,0.01,8.586,12.4753
0.75,0.01,8.56494,12.6376
0.77,0.01,8.5439,12.7989
0.79,0.01,8.52288,12.9594
0.81,0.01,8.50188,13.119
0.83,0.01,8.48091,13.2777
0.85,0.01,8.45996,13.4355
0.87,0.01,8.43903,13.5924
0.89,0.01,8.41813,13.7484
0.91,0.01,8.39727,13.9035
0.93,0.01,8.37643,14.0576
0.95,0.01,8.35563,14.2108
0.97,0.01,8.33486,14.363
0.99,0.01,8.31412,14.5143
1.01,0.01,8.29342,14.6646
1.03,0.01,8.27276,14.814
1.05,0.01,8.25214,14.9623
1.07,0.01,8.23156,15.1097
1.09,0.01,8.21103,15.2561
1.11,0.01,8.19054,15.4014
1.13,0.01,8.1701,15.5457
1.15,0.01,8.14971,15.689
1.17,0.01,8.12936,15.8312
1.19,0.01,8.10908,15.9724
1.21,0.01,8.08885,16.1126
1.23,0.01,8.06868,16.2516
1.25,0.01,8.04857,16.3896
1.27,0.01,8.02852,16.5264
1.29,0.01,8.00854,16.6621
1.31,0.01,7.98863,16.7967
1.33,0.01,7.9688,16.9301
1.35,0.01,7.94904,17.0624
1.37,0.01,7.92936,17.1935
1.39,0.01,7.90977,17.3233
1.41,0.01,7.89027,17.452
1.43,0.01,7.87087,17.5793
