x,y,height,momentum_x
0.01,0.01,7.39013,20.5237
0.03,0.01,7.38227,20.5687
0.05,0.01,7.37465,20.6123
0.07,0.01,7.36727,20.6544
0.09,0.01,7.36014,20.695
0.11,0.01,7.35327,20.734
0.13,0.01,7.34666,20.7715
0.15,0.01,7.34032,20.8073
0.17,0.01,7.33427,20.8415
0.19,0.01,7.3285,20.874
0.21,0.01,7.32302,20.9048
0.23,0.01,7.31783,20.934
0.25,0.01,7.31294,20.9614
0.27,0.01,7.30834,20.9872
0.29,0.01,7.30404,21.0112
0.31,0.01,7.30004,21.0336
0.33,0.01,7.29632,21.0543
0.35,0.01,7.2929,21.0734
0.37,0.01,7.28975,21.091
0.39,0.01,7.28687,21.107
0.41,0.01,7.28426,21.1215
0.43,0.01,7.2819,21.1346
0.45,0.01,7.27979,21.1464
0.47,0.01,7.2779,21.1569
0.49,0.01,7.27623,21.1661
0.51,0.01,7.27475,21.1743
0.53,0.01,7.27347,21.1815
0.55,0.01,7.27235,21.1877
0.57,0.01,7.27139,21.193
0.59,0.01,7.27058,21.1975
0.61,0.01,7.26989,21.2013
0.63,0.01,7.26931,21.2045
0.65,0.01,7.26884,21.2072
0.67,0.01,7.26845,21.2094
0.69,0.01,7.26814,21.2111
0.71,0.01,7.26789,21.2125
0.73,0.01,7.2677,21.2136
0.75,0.01,7.26755,21.2144
0.77,0.01,7.26745,21.215
0.79,0.01,7.26738,21.2154
0.81,0.01,7.26733,21.2157
0.83,0.01,7.26731,21.2159
0.85,0.01,7.2673,21.216
0.87,0.01,7.2673,21.216
0.89,0.01,7.26732,21.2159
0.91,0.01,7.26734,21.2158
0.93,0.01,7.26737,21.2157
0.95,0.01,7.2674,21.2156
0.97,0.01,7.26743,21.2154
0.99,0.01,7.26747,21.2152
1.01,0.01,7.2675,21.2151
1.03,0.01,7.26754,21.2149
1.05,0.01,7.26757,21.2148
1.07,0.01,7.26761,21.2146
1.09,0.01,7.26764,21.2144
1.11,0.01,7.26767,21.2143
1.13,0.01,7.26771,21.2142
1.15,0.01,7.26774,21.214
1.17,0.01,7.26776,21.2139
1.19,0.01,7.26779,21.2138
1.21,0.01,7.26782,21.2137
1.23,0.01,7.26784,21.2136
1.25,0.01,7.26786,21.2135
1.27,0.01,7.26788,21.2134
1.29,0.01,7.2679,21.2133
1.31,0.01,7.26792,21.2132
1.33,0.01,7.26794,21.2132
1.35,0.01,7.26796,21.2131
1.37,0.01,7.26798,21.213
1.39,0.01,7.26799,21.213
1.41,0.01,7.26801,21.2129
1.43,0.01,7.26803,21.2129
1.45,0.01,7.26804,21.2128
1.47,0.01,7.26805,21.2128
1.49,0.01,7.26807,21.2127
1.51,0.01,7.26808,21.2127
1.53,0.01,7.26809,21.2127
1.55,0.01,7.2681,21.2127
1.57,0.01,7.26811,21.2126
1.59,0.01,7.26812,21.2126
1.61,0.01,7.26814,21.2126
1.63,0.01,7.26815,21.2125
