x,y,height,momentum_x
0.01,0.01,9.99987,0.00126227
0.03,0.01,9.99981,0.00179314
0.05,0.01,9.99974,0.00252659
0.07,0.01,9.99964,0.00353666
0.09,0.01,9.9995,0.00491121
0.11,0.01,9.99932,0.00675362
0.13,0.01,9.99907,0.00919298
0.15,0.01,9.99874,0.0123928
0.17,0.01,9.99832,0.0165603
0.19,0.01,9.99778,0.0219264
0.21,0.01,9.99709,0.0287584
0.23,0.01,9.99622,0.0373648
0.25,0.01,9.99514,0.048105
0.27,0.01,9.9938,0.0613659
0.29,0.01,9.99216,0.0775738
0.31,0.01,9.99017,0.0971992
0.33,0.01,9.98779,0.12073
0.35,0.01,9.98497,0.148676
0.37,0.01,9.98164,0.18155
0.39,0.01,9.97776,0.21986
0.41,0.01,9.97327,0.264098
0.43,0.01,9.96814,0.314733
0.45,0.01,9.9623,0.372197
0.47,0.01,9.95573,0.436863
0.49,0.01,9.94839,0.509058
0.51,0.01,9.94024,0.589049
0.53,0.01,9.93127,0.677032
0.55,0.01,9.92145,0.773139
0.57,0.01,9.91078,0.877416
0.59,0.01,9.89926,0.989847
0.61,0.01,9.88689,1.11036
0.63,0.01,9.87368,1.23882
0.65,0.01,9.85964,1.37502
0.67,0.01,9.84479,1.51874
0.69,0.01,9.82916,1.66967
0.71,0.01,9.81277,1.82752
0.73,0.01,9.79566,1.99195
0.75,0.01,9.77785,2.16261
0.77,0.01,9.75937,2.33914
0.79,0.01,9.74026,2.52116
0.81,0.01,9.72055,2.70831
0.83,0.01,9.70028,2.9002
0.85,0.01,9.67947,3.09647
0.87,0.01,9.65817,3.29677
0.89,0.01,9.6364,3.50075
0.91,0.01,9.61419,3.70811
0.93,0.01,9.59157,3.9185
0.95,0.01,9.56858,4.13165
0.97,0.01,9.54523,4.34725
0.99,0.01,9.52155,4.56503
1.01,0.01,9.49756,4.78474
1.03,0.01,9.47329,5.00613
1.05,0.01,9.44877,5.22899
1.07,0.01,9.424,5.45312
1.09,0.01,9.39901,5.67829
1.11,0.01,9.37381,5.90435
1.13,0.01,9.34843,6.13111
1.15,0.01,9.32287,6.35841
1.17,0.01,9.29716,6.58612
1.19,0.01,9.27129,6.81409
1.21,0.01,9.2453,7.04218
1.23,0.01,9.21919,7.27028
1.25,0.01,9.19296,7.49827
1.27,0.01,9.16664,7.72605
1.29,0.01,9.14022,7.95353
1.31,0.01,9.11373,8.18062
1.33,0.01,9.08716,8.40723
1.35,0.01,9.06053,8.63329
1.37,0.01,9.03384,8.85872
1.39,0.01,9.0071,9.08347
1.41,0.01,8.98032,9.30746
1.43,0.01,8.9535,9.53063
1.45,0.01,8.92665,9.75294
1.47,0.01,8.89977,9.97432
1.49,0.01,8.87287,10.1947
1.51,0.01,8.84596,10.4141
1.53,0.01,8.81903,10.6325
1.55,0.01,8.7921,10.8498
1.57,0.01,8.76517,11.0659
1.59,0.01,8.73824,11.2808
1.61,0.01,8.71131,11.4946
1.63,0.01,8.6844,11.7071
1.65,0.01,8.65749,11.9184
1.67,0.01,8.63061,12.1283
1.69,0.01,8.60375,12.337
1.71,0.01,8.57691,12.5443
1.73,0.01,8.5501,12.7502
1.75,0.01,8.52332,12.9548
1.77,0.01,8.49657,13.1579
1.79,0.01,8.46986,13.3596
1.81,0.01,8.4432,13.5598
1.83,0.01,8.41658,13.7585
1.85,0.01,8.39001,13.9557
1.87,0.01,8.36349,14.1514
1.89,0.01,8.33703,14.3456
1.91,0.01,8.31063,14.5381
1.93,0.01,8.28429,14.7291
1.95,0.01,8.25801,14.9185
1.97,0.01,8.23181,15.1062
1.99,0.01,8.20569,15.2923
2.01,0.01,8.17964,15.4767
2.03,0.01,8.15368,15.6593
2.05,0.01,8.12781,15.8403
2.07,0.01,8.10204,16.0194
2.09,0.01,8.07637,16.1968
2.11,0.01,8.0508,16.3724
2.13,0.01,8.02535,16.546
2.15,0.01,8.00002,16.7178
2.17,0.01,7.97482,16.8877
2.19,0.01,7.94976,17.0556
2.21,0.01,7.92484,17.2215
2.23,0.01,7.90008,17.3854
2.25,0.01,7.87548,17.5471
2.27,0.01,7.85105,17.7067
2.29,0.01,7.82682,17.864
2.31,0.01,7.80278,18.0191
2.33,0.01,7.77897,18.1718
2.35,0.01,7.75538,18.3222
2.37,0.01,7.73204,18.47
2.39,0.01,7.70896,18.6152
2.41,0.01,7.68617,18.7578
2.43,0.01,7.66368,18.8976
2.45,0.01,7.64152,19.0345
2.47,0.01,7.61971,19.1684
2.49,0.01,7.59828,19.2993
2.51,0.01,7.57725,19.4269
2.53,0.01,7.55667,19.5511
2.55,0.01,7.53655,19.6717
2.57,0.01,7.51693,19.7887
2.59,0.01,7.49786,19.9019
2.61,0.01,7.47936,20.011
2.63,0.01,7.46147,20.116
2.65,0.01,7.44424,20.2166
2.67,0.01,7.42771,20.3126
2.69,0.01,7.4119,20.404
2.71,0.01,7.39687,20.4905
2.73,0.01,7.38265,20.572
2.75,0.01,7.36927,20.6483
2.77,0.01,7.35675,20.7194
2.79,0.01,7.34514,20.7852
2.81,0.01,7.33443,20.8457
2.83,0.01,7.32464,20.9007
2.85,0.01,7.31577,20.9505
2.87,0.01,7.30781,20.995
2.89,0.01,7.30074,21.0345
2.91,0.01,7.29453,21.0691
2.93,0.01,7.28914,21.0991
2.95,0.01,7.28451,21.1247
2.97,0.01,7.28061,21.1464
2.99,0.01,7.27735,21.1644
3.01,0.01,7.27468,21.1791
3.03,0.01,7.27252,21.191
3.05,0.01,7.27082,21.2004
3.07,0.01,7.2695,21.2077
3.09,0.01,7.2685,21.2132
3.11,0.01,7.26776,21.2172
3.13,0.01,7.26724,21.2201
3.15,0.01,7.26688,21.222
3.17,0.01,7.26666,21.2232
3.19,0.01,7.26653,21.2239
3.21,0.01,7.26647,21.2241
3.23,0.01,7.26647,21.2241
3.25,0.01,7.26651,21.2239
3.27,0.01,7.26656,21.2236
3.29,0.01,7.26663,21.2231
3.31,0.01,7.26671,21.2226
3.33,0.01,7.2668,21.2222
3.35,0.01,7.26688,21.2217
3.37,0.01,7.26696,21.2212
3.39,0.01,7.26704,21.2207
3.41,0.01,7.26711,21.2203
3.43,0.01,7.26718,21.2199
3.45,0.01,7.26725,21.2194
3.47,0.01,7.26731,21.2191
3.49,0.01,7.26737,21.2187
3.51,0.01,7.26743,21.2184
3.53,0.01,7.26748,21.2181
3.55,0.01,7.26753,21.2177
3.57,0.01,7.26757,21.2175
3.59,0.01,7.26762,21.2172
3.61,0.01,7.26766,21.2169
3.63,0.01,7.26769,21.2167
3.65,0.01,7.26773,21.2164
3.67,0.01,7.26776,21.2162
3.69,0.01,7.2678,21.216
3.71,0.01,7.26783,21.2158
3.73,0.01,7.26785,21.2156
3.75,0.01,7.26788,21.2154
3.77,0.01,7.26791,21.2152
3.79,0.01,7.26793,21.2151
3.81,0.01,7.26795,21.2149
3.83,0.01,7.26797,21.2147
3.85,0.01,7.26799,21.2146
3.87,0.01,7.26801,21.2144
3.89,0.01,7.26803,21.2143
3.91,0.01,7.26804,21.2142
3.93,0.01,7.26806,21.214
3.95,0.01,7.26807,21.2139
3.97,0.01,7.26809,21.2138
3.99,0.01,7.2681,21.2137
4.01,0.01,7.26811,21.2136
4.03,0.01,7.26812,21.2135
4.05,0.01,7.26813,21.2134
4.07,0.01,7.26814,21.2133
4.09,0.01,7.26815,21.2132
4.11,0.01,7.26816,21.2131
4.13,0.01,7.26817,21.213
4.15,0.01,7.26818,21.2129
4.17,0.01,7.26819,21.2128
4.19,0.01,7.26819,21.2127
4.21,0.01,7.2682,21.2126
4.23,0.01,7.26821,21.2125
4.25,0.01,7.26821,21.2125
4.27,0.01,7.26822,21.2124
4.29,0.01,7.26823,21.2123
4.31,0.01,7.26823,21.2122
4.33,0.01,7.26824,21.2121
4.35,0.01,7.26824,21.2121
4.37,0.01,7.26825,21.212
4.39,0.01,7.26825,21.2119
4.41,0.01,7.26825,21.2119
4.43,0.01,7.26826,21.2118
4.45,0.01,7.26826,21.2118
4.47,0.01,7.26826,21.2117
4.49,0.01,7.26826,21.2116
4.51,0.01,7.26826,21.2116
4.53,0.01,7.26826,21.2115
4.55,0.01,7.26826,21.2115
4.57,0.01,7.26826,21.2114
4.59,0.01,7.26826,21.2114
4.61,0.01,7.26827,21.2113
4.63,0.01,7.26827,21.2113
4.65,0.01,7.26827,21.2112
4.67,0.01,7.26827,21.2112
4.69,0.01,7.26827,21.2111
4.71,0.01,7.26827,21.211
4.73,0.01,7.26827,21.211
4.75,0.01,7.26827,21.2109
4.77,0.01,7.26827,21.2108
4.79,0.01,7.26827,21.2108
4.81,0.01,7.26827,21.2107
4.83,0.01,7.26827,21.2107
4.85,0.01,7.26827,21.2106
4.87,0.01,7.26827,21.2105
4.89,0.01,7.26827,21.2105
4.91,0.01,7.26827,21.2104
4.93,0.01,7.26827,21.2104
4.95,0.01,7.26826,21.2103
4.97,0.01,7.26826,21.2103
4.99,0.01,7.26826,21.2102
5.01,0.01,7.26826,21.2102
5.03,0.01,7.26825,21.2101
5.05,0.01,7.26825,21.2101
5.07,0.01,7.26825,21.2101
5.09,0.01,7.26824,21.21
5.11,0.01,7.26824,21.21
5.13,0.01,7.26824,21.2099
5.15,0.01,7.26824,21.2099
5.17,0.01,7.26823,21.2098
5.19,0.01,7.26823,21.2098
5.21,0.01,7.26823,21.2098
5.23,0.01,7.26822,21.2097
5.25,0.01,7.26822,21.2097
5.27,0.01,7.26822,21.2096
5.29,0.01,7.26821,21.2096
5.31,0.01,7.26821,21.2095
5.33,0.01,7.26821,21.2095
5.35,0.01,7.2682,21.2094
5.37,0.01,7.2682,21.2094
5.39,0.01,7.26819,21.2093
5.41,0.01,7.26819,21.2093
5.43,0.01,7.26819,21.2092
5.45,0.01,7.26818,21.2092
5.47,0.01,7.26818,21.2091
5.49,0.01,7.26818,21.209
5.51,0.01,7.26817,21.209
5.53,0.01,7.26817,21.2089
5.55,0.01,7.26816,21.2089
5.57,0.01,7.26816,21.2088
5.59,0.01,7.26816,21.2088
5.61,0.01,7.26815,21.2087
5.63,0.01,7.26815,21.2087
5.65,0.01,7.26814,21.2086
5.67,0.01,7.26814,21.2086
5.69,0.01,7.26814,21.2085
5.71,0.01,7.26813,21.2084
5.73,0.01,7.26813,21.2084
5.75,0.01,7.26812,21.2083
5.77,0.01,7.26812,21.2083
5.79,0.01,7.26811,21.2082
5.81,0.01,7.26811,21.2081
5.83,0.01,7.2681,21.2081
5.85,0.01,7.2681,21.208
5.87,0.01,7.2681,21.2079
5.89,0.01,7.26809,21.2079
5.91,0.01,7.26809,21.2078
5.93,0.01,7.26808,21.2078
5.95,0.01,7.26808,21.2077
5.97,0.01,7.26807,21.2076
5.99,0.01,7.26807,21.2076
6.01,0.01,7.26806,21.2075
6.03,0.01,7.26806,21.2075
6.05,0.01,7.26805,21.2074
6.07,0.01,7.26805,21.2073
6.09,0.01,7.26804,21.2073
6.11,0.01,7.26804,21.2072
6.13,0.01,7.26803,21.2072
6.15,0.01,7.26803,21.2071
6.17,0.01,7.26802,21.207
6.19,0.01,7.26802,21.207
6.21,0.01,7.26801,21.2069
6.23,0.01,7.26801,21.2068
6.25,0.01,7.268,21.2068
6.27,0.01,7.268,21.2067
6.29,0.01,7.26799,21.2066
6.31,0.01,7.26798,21.2065
6.33,0.01,7.26798,21.2065
6.35,0.01,7.26797,21.2064
6.37,0.01,7.26797,21.2063
6.39,0.01,7.26796,21.2063
6.41,0.01,7.26795,21.2062
6.43,0.01,7.26795,21.2061
6.45,0.01,7.26794,21.206
6.47,0.01,7.26793,21.2059
6.49,0.01,7.26793,21.2059
6.51,0.01,7.26792,21.2058
6.53,0.01,7.26792,21.2057
6.55,0.01,7.26791,21.2056
6.57,0.01,7.2679,21.2055
6.59,0.01,7.2679,21.2055
6.61,0.01,7.26789,21.2054
6.63,0.01,7.26788,21.2053
6.65,0.01,7.26788,21.2052
6.67,0.01,7.26787,21.2051
6.69,0.01,7.26786,21.205
6.71,0.01,7.26785,21.2049
6.73,0.01,7.26785,21.2049
6.75,0.01,7.26784,21.2048
6.77,0.01,7.26783,21.2047
6.79,0.01,7.26782,21.2046
6.81,0.01,7.26782,21.2045
6.83,0.01,7.26781,21.2044
6.85,0.01,7.2678,21.2043
6.87,0.01,7.26779,21.2042
6.89,0.01,7.26778,21.2041
6.91,0.01,7.26777,21.204
6.93,0.01,7.26776,21.2039
6.95,0.01,7.26776,21.2038
6.97,0.01,7.26775,21.2037
6.99,0.01,7.26774,21.2036
7.01,0.01,7.26773,21.2035
7.03,0.01,7.26772,21.2034
7.05,0.01,7.26771,21.2033
7.07,0.01,7.2677,21.2032
7.09,0.01,7.26769,21.2031
7.11,0.01,7.26768,21.203
7.13,0.01,7.26767,21.2029
7.15,0.01,7.26766,21.2028
7.17,0.01,7.26765,21.2027
7.19,0.01,7.26764,21.2025
7.21,0.01,7.26763,21.2024
7.23,0.01,7.26762,21.2023
7.25,0.01,7.26761,21.2022
7.27,0.01,7.2676,21.2021
7.29,0.01,7.26759,21.202
7.31,0.01,7.26758,21.2018
7.33,0.01,7.26756,21.2017
7.35,0.01,7.26755,21.2016
7.37,0.01,7.26754,21.2015
7.39,0.01,7.26753,21.2014
7.41,0.01,7.26752,21.2012
7.43,0.01,7.26751,21.2011
7.45,0.01,7.2675,21.201
7.47,0.01,7.26748,21.2008
7.49,0.01,7.26747,21.2007
7.51,0.01,7.26746,21.2005
7.53,0.01,7.26744,21.2004
7.55,0.01,7.26743,21.2002
7.57,0.01,7.26742,21.2001
7.59,0.01,7.2674,21.1999
7.61,0.01,7.26739,21.1998
7.63,0.01,7.26737,21.1996
7.65,0.01,7.26736,21.1995
7.67,0.01,7.26735,21.1993
7.69,0.01,7.26733,21.1992
7.71,0.01,7.26732,21.199
7.73,0.01,7.2673,21.1988
7.75,0.01,7.26729,21.1987
7.77,0.01,7.26727,21.1985
7.79,0.01,7.26726,21.1983
7.81,0.01,7.26724,21.1981
7.83,0.01,7.26722,21.198
7.85,0.01,7.26721,21.1978
7.87,0.01,7.26719,21.1976
7.89,0.01,7.26717,21.1974
7.91,0.01,7.26715,21.1972
7.93,0.01,7.26713,21.197
7.95,0.01,7.26712,21.1968
7.97,0.01,7.2671,21.1966
7.99,0.01,7.26708,21.1964
8.01,0.01,7.26706,21.1962
8.03,0.01,7.26704,21.1959
8.05,0.01,7.26702,21.1957
8.07,0.01,7.267,21.1955
8.09,0.01,7.26698,21.1953
8.11,0.01,7.26696,21.195
8.13,0.01,7.26694,21.1948
8.15,0.01,7.26692,21.1946
8.17,0.01,7.26689,21.1943
8.19,0.01,7.26687,21.1941
8.21,0.01,7.26685,21.1938
8.23,0.01,7.26682,21.1935
8.25,0.01,7.2668,21.1933
8.27,0.01,7.26677,21.193
8.29,0.01,7.26675,21.1927
8.31,0.01,7.26672,21.1924
8.33,0.01,7.2667,21.1921
8.35,0.01,7.26667,21.1918
8.37,0.01,7.26664,21.1915
8.39,0.01,7.26661,21.1912
8.41,0.01,7.26658,21.1909
8.43,0.01,7.26655,21.1905
8.45,0.01,7.26652,21.1902
8.47,0.01,7.26649,21.1898
8.49,0.01,7.26646,21.1895
8.51,0.01,7.26643,21.1891
