x,y,height,momentum_x
0.01,0.01,10,5.4596e-21
0.03,0.01,10,1.38062e-19
0.05,0.01,10,3.75178e-18
0.07,0.01,10,9.70664e-17
0.09,0.01,10,2.68744e-15
0.11,0.01,10,6.77457e-14
0.13,0.01,10,1.94311e-12
0.15,0.01,10,4.65986e-11
0.17,0.01,10,1.42908e-09
0.19,0.01,10,3.11156e-08
0.21,0.01,10,1.08299e-06
0.23,0.01,10,1.00289e-05
0.25,0.01,10,2.14274e-05
0.27,0.01,10,3.48325e-05
0.29,0.01,9.99999,5.10849e-05
0.31,0.01,9.99999,6.07385e-05
0.33,0.01,9.99999,7.38318e-05
0.35,0.01,9.99999,9.01861e-05
0.37,0.01,9.99999,0.00010018
0.39,0.01,9.99999,0.000113311
0.41,0.01,9.99998,0.000130687
0.43,0.01,9.99998,0.000150399
0.45,0.01,9.99998,0.000184131
0.47,0.01,9.99997,0.000255799
0.49,0.01,9.99996,0.000374999
0.51,0.01,9.99994,0.000547709
0.53,0.01,9.99992,0.000807903
0.55,0.01,9.99988,0.0011906
0.57,0.01,9.99982,0.00174523
0.59,0.01,9.99974,0.00252948
0.61,0.01,9.99963,0.00361831
0.63,0.01,9.99948,0.00512013
0.65,0.01,9.99927,0.0071808
0.67,0.01,9.99899,0.00996781
0.69,0.01,9.99862,0.0136841
0.71,0.01,9.99812,0.0186018
0.73,0.01,9.99747,0.0250216
0.75,0.01,9.99664,0.0332907
0.77,0.01,9.99557,0.0438248
0.79,0.01,9.99423,0.0571046
0.81,0.01,9.99256,0.0736501
0.83,0.01,9.9905,0.0940353
0.85,0.01,9.98798,0.118877
0.87,0.01,9.98496,0.148801
0.89,0.01,9.98135,0.184458
0.91,0.01,9.97708,0.226507
0.93,0.01,9.97211,0.275592
0.95,0.01,9.96635,0.332304
0.97,0.01,9.95976,0.397196
0.99,0.01,9.95228,0.47076
1.01,0.01,9.94387,0.553405
1.03,0.01,9.93449,0.645456
1.05,0.01,9.92411,0.747132
1.07,0.01,9.91271,0.858569
1.09,0.01,9.90029,0.979813
1.11,0.01,9.88684,1.1108
1.13,0.01,9.87238,1.2514
1.15,0.01,9.85692,1.40137
1.17,0.01,9.84047,1.56044
1.19,0.01,9.82308,1.72825
1.21,0.01,9.80477,1.90442
1.23,0.01,9.78558,2.08853
1.25,0.01,9.76555,2.28012
1.27,0.01,9.74471,2.47872
1.29,0.01,9.72312,2.68384
1.31,0.01,9.70082,2.89502
1.33,0.01,9.67784,3.11177
1.35,0.01,9.65423,3.33363
1.37,0.01,9.63004,3.56013
1.39,0.01,9.6053,3.79084
1.41,0.01,9.58004,4.02535
1.43,0.01,9.55432,4.26325
1.45,0.01,9.52815,4.50417
1.47,0.01,9.50159,4.74775
1.49,0.01,9.47464,4.99366
1.51,0.01,9.44736,5.24156
1.53,0.01,9.41976,5.49117
1.55,0.01,9.39187,5.74222
1.57,0.01,9.36371,5.99444
1.59,0.01,9.33531,6.24762
1.61,0.01,9.30669,6.50152
1.63,0.01,9.27787,6.75594
1.65,0.01,9.24886,7.01068
1.67,0.01,9.21969,7.26556
1.69,0.01,9.19036,7.52043
1.71,0.01,9.1609,7.77515
1.73,0.01,9.13132,8.02955
1.75,0.01,9.10163,8.28351
1.77,0.01,9.07185,8.53693
1.79,0.01,9.04198,8.78968
1.81,0.01,9.01203,9.04167
1.83,0.01,8.98202,9.29279
1.85,0.01,8.95195,9.54296
1.87,0.01,8.92184,9.7921
1.89,0.01,8.89169,10.0401
1.91,0.01,8.86151,10.287
1.93,0.01,8.8313,10.5325
1.95,0.01,8.80108,10.7768
1.97,0.01,8.77085,11.0197
1.99,0.01,8.74062,11.2612
2.01,0.01,8.71039,11.5012
2.03,0.01,8.68017,11.7396
2.05,0.01,8.64997,11.9765
2.07,0.01,8.61978,12.2118
2.09,0.01,8.58962,12.4454
2.11,0.01,8.5595,12.6774
2.13,0.01,8.5294,12.9075
2.15,0.01,8.49936,13.136
2.17,0.01,8.46935,13.3626
2.19,0.01,8.43941,13.5873
2.21,0.01,8.40952,13.8102
2.23,0.01,8.37969,14.0312
2.25,0.01,8.34993,14.2502
2.27,0.01,8.32025,14.4672
2.29,0.01,8.29064,14.6822
2.31,0.01,8.26112,14.8952
2.33,0.01,8.2317,15.1061
2.35,0.01,8.20237,15.3149
2.37,0.01,8.17315,15.5215
2.39,0.01,8.14405,15.7259
2.41,0.01,8.11506,15.9281
2.43,0.01,8.0862,16.128
2.45,0.01,8.05749,16.3255
2.47,0.01,8.02892,16.5207
2.49,0.01,8.0005,16.7135
2.51,0.01,7.97226,16.9038
2.53,0.01,7.9442,17.0916
2.55,0.01,7.91634,17.2767
2.57,0.01,7.88868,17.4592
2.59,0.01,7.86125,17.639
2.61,0.01,7.83406,17.8159
2.63,0.01,7.80712,17.9899
2.65,0.01,7.78047,18.161
2.67,0.01,7.75412,18.3289
2.69,0.01,7.72809,18.4936
2.71,0.01,7.70241,18.655
2.73,0.01,7.67711,18.8129
2.75,0.01,7.65222,18.9672
2.77,0.01,7.62777,19.1177
2.79,0.01,7.60379,19.2643
2.81,0.01,7.58033,19.4069
2.83,0.01,7.55742,19.5452
2.85,0.01,7.53511,19.679
2.87,0.01,7.51344,19.8081
2.89,0.01,7.49247,19.9324
2.91,0.01,7.47223,20.0515
2.93,0.01,7.45279,20.1653
2.95,0.01,7.43419,20.2736
2.97,0.01,7.41648,20.3762
2.99,0.01,7.39972,20.4727
3.01,0.01,7.38394,20.5632
3.03,0.01,7.36919,20.6473
3.05,0.01,7.35551,20.7251
3.07,0.01,7.34292,20.7963
3.09,0.01,7.33143,20.8611
3.11,0.01,7.32106,20.9194
