x,y,height,momentum_x
0.01,0.01,7.454,20.1542
0.03,0.01,7.44447,20.2098
0.05,0.01,7.43513,20.2642
0.07,0.01,7.42598,20.3173
0.09,0.01,7.41703,20.3692
0.11,0.01,7.40828,20.4197
0.13,0.01,7.39975,20.4688
0.15,0.01,7.39145,20.5165
0.17,0.01,7.38338,20.5628
0.19,0.01,7.37556,20.6075
0.21,0.01,7.36799,20.6507
0.23,0.01,7.36068,20.6923
0.25,0.01,7.35364,20.7323
0.27,0.01,7.34688,20.7706
0.29,0.01,7.34041,20.8073
0.31,0.01,7.33422,20.8422
0.33,0.01,7.32834,20.8754
0.35,0.01,7.32276,20.9068
0.37,0.01,7.31748,20.9364
0.39,0.01,7.31251,20.9643
0.41,0.01,7.30786,20.9904
0.43,0.01,7.30351,21.0147
0.45,0.01,7.29946,21.0373
0.47,0.01,7.29572,21.0582
0.49,0.01,7.29228,21.0774
0.51,0.01,7.28913,21.0949
0.53,0.01,7.28626,21.1109
0.55,0.01,7.28366,21.1253
0.57,0.01,7.28132,21.1384
0.59,0.01,7.27923,21.15
0.61,0.01,7.27737,21.1603
0.63,0.01,7.27574,21.1694
0.65,0.01,7.2743,21.1774
0.67,0.01,7.27305,21.1843
0.69,0.01,7.27198,21.1903
0.71,0.01,7.27106,21.1954
0.73,0.01,7.27028,21.1997
0.75,0.01,7.26963,21.2034
0.77,0.01,7.26909,21.2064
0.79,0.01,7.26865,21.2088
0.81,0.01,7.26829,21.2109
0.83,0.01,7.26801,21.2125
0.85,0.01,7.26779,21.2137
0.87,0.01,7.26762,21.2147
0.89,0.01,7.2675,21.2154
0.91,0.01,7.26741,21.2159
0.93,0.01,7.26735,21.2162
0.95,0.01,7.26732,21.2164
0.97,0.01,7.2673,21.2166
0.99,0.01,7.26731,21.2166
1.01,0.01,7.26732,21.2165
1.03,0.01,7.26734,21.2165
1.05,0.01,7.26737,21.2163
1.07,0.01,7.2674,21.2162
1.09,0.01,7.26744,21.216
1.11,0.01,7.26747,21.2159
1.13,0.01,7.26751,21.2157
1.15,0.01,7.26755,21.2155
1.17,0.01,7.26758,21.2154
1.19,0.01,7.26762,21.2152
1.21,0.01,7.26765,21.215
1.23,0.01,7.26769,21.2149
1.25,0.01,7.26772,21.2147
1.27,0.01,7.26775,21.2146
1.29,0.01,7.26778,21.2145
1.31,0.01,7.26781,21.2144
1.33,0.01,7.26784,21.2142
1.35,0.01,7.26786,21.2141
1.37,0.01,7.26789,21.214
1.39,0.01,7.26791,21.2139
1.41,0.01,7.26793,21.2139
1.43,0.01,7.26795,21.2138
1.45,0.01,7.26797,21.2137
1.47,0.01,7.26799,21.2136
1.49,0.01,7.26801,21.2136
1.51,0.01,7.26803,21.2135
1.53,0.01,7.26804,21.2135
1.55,0.01,7.26806,21.2134
1.57,0.01,7.26807,21.2134
1.59,0.01,7.26809,21.2134
1.61,0.01,7.26811,21.2133
1.63,0.01,7.26812,21.2133
1.65,0.01,7.26813,21.2133
1.67,0.01,7.26814,21.2132
1.69,0.01,7.26816,21.2132
1.71,0.01,7.26817,21.2132
1.73,0.01,7.26818,21.2132
1.75,0.01,7.26819,21.2132
1.77,0.01,7.2682,21.2131
1.79,0.01,7.26822,21.2131
1.81,0.01,7.26823,21.2131
1.83,0.01,7.26824,21.2131
1.85,0.01,7.26825,21.2131
1.87,0.01,7.26826,21.2131
1.89,0.01,7.26827,21.2131
1.91,0.01,7.26827,21.2131
1.93,0.01,7.26828,21.2131
1.95,0.01,7.26829,21.2131
1.97,0.01,7.2683,21.2131
1.99,0.01,7.2683,21.2131
2.01,0.01,7.26831,21.2131
2.03,0.01,7.26832,21.2131
2.05,0.01,7.26832,21.2131
2.07,0.01,7.26833,21.2131
2.09,0.01,7.26834,21.2131
2.11,0.01,7.26834,21.2131
2.13,0.01,7.26835,21.2131
2.15,0.01,7.26836,21.2132
2.17,0.01,7.26836,21.2132
2.19,0.01,7.26837,21.2132
2.21,0.01,7.26838,21.2132
2.23,0.01,7.26838,21.2132
2.25,0.01,7.26839,21.2132
2.27,0.01,7.2684,21.2132
2.29,0.01,7.2684,21.2132
2.31,0.01,7.26841,21.2132
2.33,0.01,7.26842,21.2132
2.35,0.01,7.26842,21.2133
2.37,0.01,7.26843,21.2133
2.39,0.01,7.26843,21.2133
2.41,0.01,7.26844,21.2133
2.43,0.01,7.26844,21.2133
2.45,0.01,7.26845,21.2133
2.47,0.01,7.26845,21.2134
2.49,0.01,7.26846,21.2134
2.51,0.01,7.26846,21.2134
2.53,0.01,7.26847,21.2134
2.55,0.01,7.26847,21.2135
2.57,0.01,7.26847,21.2135
2.59,0.01,7.26848,21.2135
2.61,0.01,7.26848,21.2136
2.63,0.01,7.26848,21.2136
