x,y,height,momentum_x
0.01,0.01,9.78516,2.09229
0.03,0.01,9.7691,2.24592
0.05,0.01,9.75256,2.40378
0.07,0.01,9.73556,2.56563
0.09,0.01,9.71812,2.73118
0.11,0.01,9.70026,2.9002
0.13,0.01,9.68202,3.07241
0.15,0.01,9.66341,3.24757
0.17,0.01,9.64445,3.42545
0.19,0.01,9.62516,3.60582
0.21,0.01,9.60557,3.78847
0.23,0.01,9.58569,3.97317
0.25,0.01,9.56555,4.15975
0.27,0.01,9.54516,4.34801
0.29,0.01,9.52453,4.53776
0.31,0.01,9.50369,4.72885
0.33,0.01,9.48265,4.92111
0.35,0.01,9.46141,5.11441
0.37,0.01,9.44,5.30861
0.39,0.01,9.41843,5.50357
0.41,0.01,9.39671,5.69917
0.43,0.01,9.37485,5.8953
0.45,0.01,9.35287,6.09184
0.47,0.01,9.33076,6.2887
0.49,0.01,9.30854,6.48578
0.51,0.01,9.28622,6.683
0.53,0.01,9.2638,6.88027
0.55,0.01,9.2413,7.07752
0.57,0.01,9.21872,7.27468
0.59,0.01,9.19607,7.47167
0.61,0.01,9.17336,7.66843
0.63,0.01,9.15058,7.8649
0.65,0.01,9.12775,8.06104
0.67,0.01,9.10487,8.25679
0.69,0.01,9.08194,8.45209
0.71,0.01,9.05898,8.64692
0.73,0.01,9.03598,8.84122
0.75,0.01,9.01295,9.03495
0.77,0.01,8.98989,9.22808
0.79,0.01,8.96681,9.42057
0.81,0.01,8.94371,9.6124
0.83,0.01,8.92059,9.80352
0.85,0.01,8.89746,9.99391
0.87,0.01,8.87432,10.1835
0.89,0.01,8.85117,10.3724
0.91,0.01,8.82802,10.5604
0.93,0.01,8.80486,10.7476
0.95,0.01,8.7817,10.934
0.97,0.01,8.75855,11.1195
0.99,0.01,8.73541,11.3041
1.01,0.01,8.71227,11.4878
1.03,0.01,8.68914,11.6705
1.05,0.01,8.66602,11.8523
1.07,0.01,8.64291,12.0332
1.09,0.01,8.61983,12.213
1.11,0.01,8.59676,12.3919
1.13,0.01,8.57371,12.5698
1.15,0.01,8.55068,12.7466
1.17,0.01,8.52768,12.9224
1.19,0.01,8.5047,13.0972
1.21,0.01,8.48176,13.2709
1.23,0.01,8.45884,13.4435
1.25,0.01,8.43595,13.6151
1.27,0.01,8.41309,13.7855
1.29,0.01,8.39028,13.9548
1.31,0.01,8.36749,14.123
1.33,0.01,8.34475,14.2901
1.35,0.01,8.32205,14.456
1.37,0.01,8.2994,14.6208
1.39,0.01,8.27679,14.7844
1.41,0.01,8.25423,14.9468
1.43,0.01,8.23172,15.108
1.45,0.01,8.20927,15.268
1.47,0.01,8.18687,15.4268
1.49,0.01,8.16453,15.5844
1.51,0.01,8.14225,15.7407
1.53,0.01,8.12004,15.8957
1.55,0.01,8.09789,16.0494
