x,y,height,momentum_x
0.01,0.01,10,2.2687e-42
0.03,0.01,10,5.8252e-41
0.05,0.01,10,1.55053e-39
0.07,0.01,10,4.12871e-38
0.09,0.01,10,1.09879e-36
0.11,0.01,10,2.92644e-35
0.13,0.01,10,7.78605e-34
0.15,0.01,10,2.07448e-32
0.17,0.01,10,5.51638e-31
0.19,0.01,10,1.47086e-29
0.21,0.01,10,3.90723e-28
0.23,0.01,10,1.04328e-26
0.25,0.01,10,2.76597e-25
0.27,0.01,10,7.40546e-24
0.29,0.01,10,1.95604e-22
0.31,0.01,10,5.26399e-21
0.33,0.01,10,1.38054e-19
0.35,0.01,10,3.75178e-18
0.37,0.01,10,9.70664e-17
0.39,0.01,10,2.68744e-15
0.41,0.01,10,6.77457e-14
0.43,0.01,10,1.94311e-12
0.45,0.01,10,4.65986e-11
0.47,0.01,10,1.42908e-09
0.49,0.01,10,3.11156e-08
0.51,0.01,10,1.08299e-06
0.53,0.01,10,1.00289e-05
0.55,0.01,10,2.14274e-05
0.57,0.01,10,3.48325e-05
0.59,0.01,9.99999,5.10849e-05
0.61,0.01,9.99999,6.07385e-05
0.63,0.01,9.99999,7.38323e-05
0.65,0.01,9.99999,9.01926e-05
0.67,0.01,9.99999,0.000100288
0.69,0.01,9.99999,0.000115063
0.71,0.01,9.99998,0.00014442
0.73,0.01,9.99998,0.000190308
0.75,0.01,9.99997,0.000272814
0.77,0.01,9.99996,0.000410846
0.79,0.01,9.99994,0.0006208
0.81,0.01,9.99991,0.000928971
0.83,0.01,9.99986,0.00138104
0.85,0.01,9.99979,0.00203349
0.87,0.01,9.9997,0.00296903
0.89,0.01,9.99956,0.00429136
0.91,0.01,9.99938,0.00612864
0.93,0.01,9.99912,0.00866178
0.95,0.01,9.99878,0.0121011
0.97,0.01,9.99831,0.0167116
0.99,0.01,9.99769,0.0228182
1.01,0.01,9.99689,0.0307974
1.03,0.01,9.99585,0.0411032
1.05,0.01,9.99452,0.054251
1.07,0.01,9.99284,0.0708232
1.09,0.01,9.99076,0.0914607
1.11,0.01,9.98819,0.116852
1.13,0.01,9.98507,0.147717
1.15,0.01,9.98131,0.184797
1.17,0.01,9.97685,0.22885
1.19,0.01,9.9716,0.280596
1.21,0.01,9.9655,0.340737
1.23,0.01,9.95847,0.409905
1.25,0.01,9.95046,0.488655
1.27,0.01,9.94142,0.577453
1.29,0.01,9.9313,0.676664
1.31,0.01,9.92008,0.786543
1.33,0.01,9.90773,0.907232
1.35,0.01,9.89425,1.03874
1.37,0.01,9.87963,1.18097
1.39,0.01,9.86389,1.33376
1.41,0.01,9.84705,1.49682
1.43,0.01,9.82914,1.66982
1.45,0.01,9.81019,1.85232
1.47,0.01,9.79024,2.04386
1.49,0.01,9.76933,2.24394
1.51,0.01,9.74751,2.45201
1.53,0.01,9.72484,2.66754
1.55,0.01,9.70134,2.88998
1.57,0.01,9.67709,3.11877
1.59,0.01,9.65212,3.35336
1.61,0.01,9.62648,3.59323
1.63,0.01,9.60023,3.83788
1.65,0.01,9.5734,4.0868
1.67,0.01,9.54603,4.33954
1.69,0.01,9.51818,4.59564
1.71,0.01,9.48987,4.85469
1.73,0.01,9.46115,5.11631
1.75,0.01,9.43204,5.38011
1.77,0.01,9.40258,5.64578
1.79,0.01,9.3728,5.91298
1.81,0.01,9.34273,6.18142
1.83,0.01,9.3124,6.45081
1.85,0.01,9.28182,6.72092
1.87,0.01,9.25103,6.99152
1.89,0.01,9.22003,7.26237
1.91,0.01,9.18886,7.53328
1.93,0.01,9.15752,7.80406
1.95,0.01,9.12605,8.07454
1.97,0.01,9.09444,8.34457
1.99,0.01,9.06273,8.61399
2.01,0.01,9.03091,8.88267
2.03,0.01,8.99901,9.15048
2.05,0.01,8.96704,9.41732
2.07,0.01,8.935,9.68308
2.09,0.01,8.90291,9.94765
2.11,0.01,8.87078,10.2109
2.13,0.01,8.83862,10.4729
2.15,0.01,8.80643,10.7334
2.17,0.01,8.77423,10.9923
2.19,0.01,8.74202,11.2497
2.21,0.01,8.70981,11.5054
2.23,0.01,8.67761,11.7594
2.25,0.01,8.64542,12.0116
2.27,0.01,8.61326,12.262
2.29,0.01,8.58113,12.5106
2.31,0.01,8.54903,12.7571
2.33,0.01,8.51698,13.0017
2.35,0.01,8.48497,13.2443
2.37,0.01,8.45303,13.4848
2.39,0.01,8.42114,13.7232
2.41,0.01,8.38933,13.9594
2.43,0.01,8.35759,14.1934
2.45,0.01,8.32593,14.4252
2.47,0.01,8.29437,14.6547
2.49,0.01,8.26291,14.8818
2.51,0.01,8.23155,15.1066
2.53,0.01,8.2003,15.3289
2.55,0.01,8.16919,15.5488
2.57,0.01,8.1382,15.7662
2.59,0.01,8.10736,15.9809
2.61,0.01,8.07666,16.1931
2.63,0.01,8.04613,16.4026
2.65,0.01,8.01579,16.6093
2.67,0.01,7.98562,16.8132
2.69,0.01,7.95567,17.0143
2.71,0.01,7.92593,17.2124
2.73,0.01,7.89644,17.4074
2.75,0.01,7.86719,17.5994
2.77,0.01,7.83823,17.7881
2.79,0.01,7.80956,17.9735
2.81,0.01,7.78121,18.1554
2.83,0.01,7.75322,18.3338
2.85,0.01,7.72559,18.5085
2.87,0.01,7.69838,18.6794
2.89,0.01,7.67161,18.8463
2.91,0.01,7.64531,19.009
2.93,0.01,7.61954,19.1673
2.95,0.01,7.59432,19.3212
2.97,0.01,7.56971,19.4702
2.99,0.01,7.54576,19.6144
3.01,0.01,7.52252,19.7533
3.03,0.01,7.50004,19.8868
3.05,0.01,7.47838,20.0145
3.07,0.01,7.4576,20.1364
3.09,0.01,7.43776,20.252
3.11,0.01,7.41892,20.3612
3.13,0.01,7.40113,20.4638
3.15,0.01,7.38444,20.5595
3.17,0.01,7.3689,20.6481
3.19,0.01,7.35455,20.7297
3.21,0.01,7.34142,20.8039
3.23,0.01,7.32952,20.871
3.25,0.01,7.31884,20.9309
3.27,0.01,7.30939,20.9839
3.29,0.01,7.30112,21.0301
3.31,0.01,7.29398,21.0698
3.33,0.01,7.28791,21.1035
3.35,0.01,7.28284,21.1316
3.37,0.01,7.27867,21.1547
3.39,0.01,7.2753,21.1733
3.41,0.01,7.27265,21.188
3.43,0.01,7.27059,21.1993
3.45,0.01,7.26905,21.2078
3.47,0.01,7.26792,21.214
3.49,0.01,7.26712,21.2183
3.51,0.01,7.26659,21.2212
3.53,0.01,7.26625,21.223
3.55,0.01,7.26606,21.224
3.57,0.01,7.26598,21.2244
3.59,0.01,7.26597,21.2244
3.61,0.01,7.26601,21.2241
3.63,0.01,7.26608,21.2237
