x,y,height,momentum_x
0.01,0.01,8.36697,14.1215
0.03,0.01,8.34985,14.2475
0.05,0.01,8.33276,14.3728
0.07,0.01,8.31568,14.4974
0.09,0.01,8.29863,14.6214
0.11,0.01,8.28161,14.7448
0.13,0.01,8.26461,14.8675
0.15,0.01,8.24764,14.9895
0.17,0.01,8.23069,15.1109
0.19,0.01,8.21377,15.2315
0.21,0.01,8.19689,15.3516
0.23,0.01,8.18003,15.4709
0.25,0.01,8.1632,15.5896
0.27,0.01,8.1464,15.7075
0.29,0.01,8.12964,15.8248
0.31,0.01,8.11291,15.9414
0.33,0.01,8.09622,16.0573
0.35,0.01,8.07956,16.1724
0.37,0.01,8.06294,16.2869
0.39,0.01,8.04636,16.4006
0.41,0.01,8.02982,16.5136
0.43,0.01,8.01332,16.6258
0.45,0.01,7.99687,16.7373
0.47,0.01,7.98046,16.8481
0.49,0.01,7.9641,16.9581
0.51,0.01,7.94778,17.0673
0.53,0.01,7.93152,17.1757
0.55,0.01,7.91531,17.2833
0.57,0.01,7.89916,17.3902
0.59,0.01,7.88307,17.4962
0.61,0.01,7.86703,17.6014
0.63,0.01,7.85106,17.7057
0.65,0.01,7.83515,17.8092
0.67,0.01,7.81931,17.9118
0.69,0.01,7.80355,18.0136
0.71,0.01,7.78786,18.1144
0.73,0.01,7.77225,18.2143
0.75,0.01,7.75672,18.3133
0.77,0.01,7.74128,18.4113
0.79,0.01,7.72593,18.5083
0.81,0.01,7.71068,18.6043
0.83,0.01,7.69554,18.6993
0.85,0.01,7.68049,18.7933
0.87,0.01,7.66557,18.8861
0.89,0.01,7.65076,18.9778
0.91,0.01,7.63608,19.0684
0.93,0.01,7.62153,19.1578
0.95,0.01,7.60713,19.246
0.97,0.01,7.59287,19.3328
0.99,0.01,7.57877,19.4184
1.01,0.01,7.56485,19.5027
1.03,0.01,7.55109,19.5855
1.05,0.01,7.53753,19.6669
1.07,0.01,7.52417,19.7468
1.09,0.01,7.51101,19.8252
1.11,0.01,7.49808,19.9019
1.13,0.01,7.48538,19.977
1.15,0.01,7.47293,20.0503
1.17,0.01,7.46074,20.1218
1.19,0.01,7.44883,20.1915
1.21,0.01,7.43721,20.2592
1.23,0.01,7.4259,20.3249
1.25,0.01,7.41491,20.3885
1.27,0.01,7.40426,20.45
1.29,0.01,7.39396,20.5092
1.31,0.01,7.38403,20.5662
1.33,0.01,7.37449,20.6208
1.35,0.01,7.36534,20.673
1.37,0.01,7.35661,20.7227
1.39,0.01,7.3483,20.7698
1.41,0.01,7.34042,20.8144
1.43,0.01,7.33299,20.8564
1.45,0.01,7.32601,20.8957
1.47,0.01,7.31949,20.9324
1.49,0.01,7.31342,20.9665
1.51,0.01,7.30781,20.9979
1.53,0.01,7.30265,21.0268
1.55,0.01,7.29794,21.0531
1.57,0.01,7.29367,21.0769
1.59,0.01,7.28982,21.0984
1.61,0.01,7.28637,21.1176
1.63,0.01,7.28331,21.1346
1.65,0.01,7.28062,21.1496
1.67,0.01,7.27827,21.1626
1.69,0.01,7.27625,21.1739
1.71,0.01,7.27451,21.1835
1.73,0.01,7.27304,21.1917
1.75,0.01,7.2718,21.1986
1.77,0.01,7.27078,21.2042
1.79,0.01,7.26995,21.2089
1.81,0.01,7.26928,21.2126
1.83,0.01,7.26875,21.2156
1.85,0.01,7.26833,21.2179
1.87,0.01,7.26802,21.2196
1.89,0.01,7.26779,21.2209
1.91,0.01,7.26763,21.2218
1.93,0.01,7.26752,21.2225
1.95,0.01,7.26745,21.2228
1.97,0.01,7.26742,21.223
1.99,0.01,7.26741,21.2231
2.01,0.01,7.26743,21.223
2.03,0.01,7.26745,21.2229
2.05,0.01,7.26749,21.2227
2.07,0.01,7.26753,21.2225
2.09,0.01,7.26758,21.2222
2.11,0.01,7.26763,21.222
2.13,0.01,7.26768,21.2217
2.15,0.01,7.26773,21.2214
2.17,0.01,7.26778,21.2211
2.19,0.01,7.26782,21.2209
2.21,0.01,7.26787,21.2206
2.23,0.01,7.26791,21.2204
2.25,0.01,7.26795,21.2201
2.27,0.01,7.26799,21.2199
2.29,0.01,7.26803,21.2197
2.31,0.01,7.26806,21.2195
2.33,0.01,7.2681,21.2193
2.35,0.01,7.26813,21.2191
2.37,0.01,7.26815,21.219
2.39,0.01,7.26818,21.2188
2.41,0.01,7.26821,21.2186
2.43,0.01,7.26823,21.2185
2.45,0.01,7.26825,21.2184
2.47,0.01,7.26827,21.2182
2.49,0.01,7.26829,21.2181
2.51,0.01,7.26831,21.218
2.53,0.01,7.26833,21.2179
2.55,0.01,7.26834,21.2178
2.57,0.01,7.26836,21.2177
2.59,0.01,7.26838,21.2176
2.61,0.01,7.26839,21.2175
2.63,0.01,7.26841,21.2174
2.65,0.01,7.26842,21.2173
2.67,0.01,7.26843,21.2172
2.69,0.01,7.26844,21.2171
2.71,0.01,7.26845,21.2171
2.73,0.01,7.26847,21.217
2.75,0.01,7.26848,21.2169
2.77,0.01,7.26849,21.2168
2.79,0.01,7.26849,21.2168
2.81,0.01,7.2685,21.2167
2.83,0.01,7.26851,21.2167
2.85,0.01,7.26852,21.2166
2.87,0.01,7.26853,21.2165
2.89,0.01,7.26853,21.2165
2.91,0.01,7.26854,21.2164
2.93,0.01,7.26855,21.2164
2.95,0.01,7.26856,21.2163
2.97,0.01,7.26856,21.2162
2.99,0.01,7.26857,21.2162
3.01,0.01,7.26857,21.2162
3.03,0.01,7.26858,21.2161
3.05,0.01,7.26858,21.2161
3.07,0.01,7.26858,21.2161
3.09,0.01,7.26859,21.216
3.11,0.01,7.26859,21.216
3.13,0.01,7.26859,21.216
3.15,0.01,7.26859,21.2159
3.17,0.01,7.2686,21.2159
3.19,0.01,7.2686,21.2159
3.21,0.01,7.2686,21.2158
3.23,0.01,7.26861,21.2158
3.25,0.01,7.26861,21.2158
3.27,0.01,7.26861,21.2157
3.29,0.01,7.26861,21.2157
3.31,0.01,7.26862,21.2157
3.33,0.01,7.26862,21.2156
3.35,0.01,7.26862,21.2156
3.37,0.01,7.26863,21.2156
3.39,0.01,7.26863,21.2155
3.41,0.01,7.26863,21.2155
3.43,0.01,7.26863,21.2155
3.45,0.01,7.26864,21.2154
3.47,0.01,7.26864,21.2154
3.49,0.01,7.26864,21.2154
3.51,0.01,7.26865,21.2153
3.53,0.01,7.26865,21.2153
3.55,0.01,7.26865,21.2153
3.57,0.01,7.26865,21.2152
3.59,0.01,7.26865,21.2152
3.61,0.01,7.26865,21.2152
3.63,0.01,7.26865,21.2152
3.65,0.01,7.26865,21.2152
3.67,0.01,7.26865,21.2152
3.69,0.01,7.26865,21.2151
3.71,0.01,7.26865,21.2151
3.73,0.01,7.26865,21.2151
3.75,0.01,7.26864,21.2151
3.77,0.01,7.26864,21.2151
