x,y,height,momentum_x
0.01,0.01,7.8252,17.8693
0.03,0.01,7.8113,17.9592
0.05,0.01,7.79745,18.0484
0.07,0.01,7.78365,18.1369
0.09,0.01,7.76992,18.2248
0.11,0.01,7.75624,18.3119
0.13,0.01,7.74263,18.3983
0.15,0.01,7.72909,18.484
0.17,0.01,7.71561,18.5689
0.19,0.01,7.70221,18.6531
0.21,0.01,7.68889,18.7365
0.23,0.01,7.67565,18.8191
0.25,0.01,7.66249,18.9008
0.27,0.01,7.64942,18.9818
0.29,0.01,7.63644,19.0618
0.31,0.01,7.62356,19.141
0.33,0.01,7.61079,19.2192
0.35,0.01,7.59813,19.2965
0.37,0.01,7.58558,19.3728
0.39,0.01,7.57315,19.4482
0.41,0.01,7.56085,19.5225
0.43,0.01,7.54869,19.5957
0.45,0.01,7.53666,19.6678
0.47,0.01,7.52479,19.7388
0.49,0.01,7.51307,19.8086
0.51,0.01,7.50152,19.8772
0.53,0.01,7.49014,19.9446
0.55,0.01,7.47895,20.0106
0.57,0.01,7.46796,20.0753
0.59,0.01,7.45716,20.1385
0.61,0.01,7.44658,20.2003
0.63,0.01,7.43623,20.2607
0.65,0.01,7.42612,20.3194
0.67,0.01,7.41626,20.3765
0.69,0.01,7.40666,20.432
0.71,0.01,7.39733,20.4857
0.73,0.01,7.38828,20.5376
0.75,0.01,7.37953,20.5877
0.77,0.01,7.37109,20.636
0.79,0.01,7.36297,20.6823
0.81,0.01,7.35517,20.7266
0.83,0.01,7.34772,20.7689
0.85,0.01,7.34061,20.8091
0.87,0.01,7.33386,20.8473
0.89,0.01,7.32747,20.8833
0.91,0.01,7.32145,20.9172
0.93,0.01,7.3158,20.949
0.95,0.01,7.31052,20.9786
0.97,0.01,7.30561,21.0061
0.99,0.01,7.30106,21.0315
1.01,0.01,7.29689,21.0548
1.03,0.01,7.29306,21.0762
1.05,0.01,7.28959,21.0955
1.07,0.01,7.28645,21.113
1.09,0.01,7.28363,21.1287
1.11,0.01,7.28112,21.1427
1.13,0.01,7.27889,21.1551
1.15,0.01,7.27694,21.166
1.17,0.01,7.27524,21.1754
1.19,0.01,7.27377,21.1836
1.21,0.01,7.27251,21.1906
1.23,0.01,7.27145,21.1965
1.25,0.01,7.27056,21.2015
1.27,0.01,7.26982,21.2056
1.29,0.01,7.26921,21.209
1.31,0.01,7.26873,21.2118
1.33,0.01,7.26834,21.214
1.35,0.01,7.26804,21.2157
1.37,0.01,7.26781,21.217
