x,y,height,momentum_x
0.01,0.01,8.90795,9.90411
0.03,0.01,8.88844,10.0645
0.05,0.01,8.86892,10.2242
0.07,0.01,8.84941,10.3834
0.09,0.01,8.82989,10.542
0.11,0.01,8.81038,10.7
0.13,0.01,8.79087,10.8574
0.15,0.01,8.77136,11.0141
0.17,0.01,8.75186,11.1701
0.19,0.01,8.73237,11.3256
0.21,0.01,8.71288,11.4803
0.23,0.01,8.6934,11.6344
0.25,0.01,8.67393,11.7878
0.27,0.01,8.65447,11.9405
0.29,0.01,8.63503,12.0925
0.31,0.01,8.61559,12.2438
0.33,0.01,8.59618,12.3944
0.35,0.01,8.57677,12.5443
0.37,0.01,8.55739,12.6934
0.39,0.01,8.53802,12.8418
0.41,0.01,8.51866,12.9895
0.43,0.01,8.49933,13.1364
0.45,0.01,8.48002,13.2825
0.47,0.01,8.46073,13.4279
0.49,0.01,8.44146,13.5725
0.51,0.01,8.42222,13.7164
0.53,0.01,8.403,13.8594
0.55,0.01,8.3838,14.0017
0.57,0.01,8.36464,14.1432
0.59,0.01,8.3455,14.2839
0.61,0.01,8.32638,14.4237
0.63,0.01,8.3073,14.5628
0.65,0.01,8.28825,14.701
0.67,0.01,8.26923,14.8385
0.69,0.01,8.25025,14.9751
0.71,0.01,8.2313,15.1108
0.73,0.01,8.21238,15.2457
0.75,0.01,8.19351,15.3798
0.77,0.01,8.17467,15.513
0.79,0.01,8.15587,15.6453
0.81,0.01,8.13711,15.7767
0.83,0.01,8.1184,15.9073
0.85,0.01,8.09973,16.0369
0.87,0.01,8.08111,16.1657
0.89,0.01,8.06254,16.2935
0.91,0.01,8.04402,16.4205
0.93,0.01,8.02555,16.5465
0.95,0.01,8.00714,16.6715
0.97,0.01,7.98879,16.7956
0.99,0.01,7.9705,16.9188
1.01,0.01,7.95227,17.0409
1.03,0.01,7.93411,17.1621
1.05,0.01,7.91601,17.2823
1.07,0.01,7.89799,17.4014
1.09,0.01,7.88004,17.5195
1.11,0.01,7.86218,17.6365
1.13,0.01,7.8444,17.7524
1.15,0.01,7.8267,17.8673
1.17,0.01,7.8091,17.981
1.19,0.01,7.79159,18.0936
1.21,0.01,7.77419,18.205
1.23,0.01,7.7569,18.3152
1.25,0.01,7.73972,18.4241
1.27,0.01,7.72266,18.5318
1.29,0.01,7.70573,18.6383
1.31,0.01,7.68893,18.7433
1.33,0.01,7.67228,18.8471
1.35,0.01,7.65578,18.9494
1.37,0.01,7.63944,19.0502
1.39,0.01,7.62327,19.1495
1.41,0.01,7.60729,19.2473
1.43,0.01,7.59149,19.3435
1.45,0.01,7.5759,19.438
1.47,0.01,7.56053,19.5308
1.49,0.01,7.54538,19.6219
1.51,0.01,7.53048,19.711
1.53,0.01,7.51585,19.7983
1.55,0.01,7.50149,19.8835
1.57,0.01,7.48742,19.9666
1.59,0.01,7.47366,20.0476
1.61,0.01,7.46023,20.1264
1.63,0.01,7.44715,20.2028
1.65,0.01,7.43443,20.2768
1.67,0.01,7.4221,20.3482
1.69,0.01,7.41018,20.4171
1.71,0.01,7.39868,20.4833
1.73,0.01,7.38762,20.5467
1.75,0.01,7.37704,20.6072
1.77,0.01,7.36693,20.6649
1.79,0.01,7.35732,20.7195
1.81,0.01,7.34822,20.771
1.83,0.01,7.33965,20.8194
1.85,0.01,7.33162,20.8647
1.87,0.01,7.32413,20.9068
1.89,0.01,7.31719,20.9458
1.91,0.01,7.31079,20.9816
1.93,0.01,7.30493,21.0144
1.95,0.01,7.29961,21.0441
1.97,0.01,7.29481,21.0708
1.99,0.01,7.29051,21.0947
2.01,0.01,7.2867,21.1159
2.03,0.01,7.28335,21.1345
2.05,0.01,7.28043,21.1507
2.07,0.01,7.27791,21.1646
2.09,0.01,7.27576,21.1765
2.11,0.01,7.27394,21.1865
2.13,0.01,7.27243,21.1949
2.15,0.01,7.27118,21.2018
2.17,0.01,7.27017,21.2073
2.19,0.01,7.26937,21.2118
2.21,0.01,7.26873,21.2153
2.23,0.01,7.26825,21.2179
2.25,0.01,7.26788,21.2199
2.27,0.01,7.26762,21.2214
2.29,0.01,7.26744,21.2224
2.31,0.01,7.26732,21.223
2.33,0.01,7.26725,21.2234
2.35,0.01,7.26722,21.2235
