x,y,height,momentum_x
0.01,0.01,7.94401,17.089
0.03,0.01,7.92928,17.1871
0.05,0.01,7.9146,17.2846
0.07,0.01,7.89996,17.3814
0.09,0.01,7.88536,17.4776
0.11,0.01,7.87082,17.5731
0.13,0.01,7.85632,17.6679
0.15,0.01,7.84187,17.7621
0.17,0.01,7.82747,17.8555
0.19,0.01,7.81313,17.9483
0.21,0.01,7.79885,18.0403
0.23,0.01,7.78462,18.1317
0.25,0.01,7.77046,18.2222
0.27,0.01,7.75637,18.3121
0.29,0.01,7.74234,18.4011
0.31,0.01,7.72839,18.4894
0.33,0.01,7.71451,18.5768
0.35,0.01,7.70071,18.6635
0.37,0.01,7.687,18.7493
0.39,0.01,7.67337,18.8342
0.41,0.01,7.65983,18.9183
0.43,0.01,7.6464,19.0014
0.45,0.01,7.63306,19.0836
0.47,0.01,7.61983,19.1649
0.49,0.01,7.60672,19.2451
0.51,0.01,7.59372,19.3243
0.53,0.01,7.58085,19.4025
0.55,0.01,7.56811,19.4796
0.57,0.01,7.55551,19.5556
0.59,0.01,7.54306,19.6305
0.61,0.01,7.53077,19.7041
0.63,0.01,7.51864,19.7765
0.65,0.01,7.50668,19.8476
0.67,0.01,7.4949,19.9174
0.69,0.01,7.48332,19.9858
0.71,0.01,7.47194,20.0528
0.73,0.01,7.46078,20.1184
0.75,0.01,7.44984,20.1823
0.77,0.01,7.43914,20.2447
0.79,0.01,7.42869,20.3055
0.81,0.01,7.4185,20.3646
0.83,0.01,7.40858,20.4218
0.85,0.01,7.39895,20.4773
0.87,0.01,7.38963,20.5309
0.89,0.01,7.38061,20.5826
0.91,0.01,7.37192,20.6323
0.93,0.01,7.36356,20.6799
0.95,0.01,7.35555,20.7254
0.97,0.01,7.3479,20.7689
0.99,0.01,7.34061,20.8101
1.01,0.01,7.3337,20.8491
1.03,0.01,7.32717,20.886
1.05,0.01,7.32103,20.9205
1.07,0.01,7.31528,20.9528
1.09,0.01,7.30992,20.9829
1.11,0.01,7.30495,21.0108
1.13,0.01,7.30036,21.0364
1.15,0.01,7.29615,21.0599
1.17,0.01,7.29232,21.0813
1.19,0.01,7.28884,21.1007
1.21,0.01,7.28571,21.1181
1.23,0.01,7.28292,21.1337
1.25,0.01,7.28044,21.1475
1.27,0.01,7.27825,21.1597
1.29,0.01,7.27635,21.1703
1.31,0.01,7.2747,21.1795
1.33,0.01,7.27328,21.1873
1.35,0.01,7.27208,21.194
1.37,0.01,7.27107,21.1997
1.39,0.01,7.27023,21.2044
1.41,0.01,7.26954,21.2082
1.43,0.01,7.26898,21.2114
1.45,0.01,7.26854,21.2139
1.47,0.01,7.26819,21.2158
1.49,0.01,7.26792,21.2174
1.51,0.01,7.26772,21.2185
1.53,0.01,7.26758,21.2193
1.55,0.01,7.26749,21.2199
1.57,0.01,7.26743,21.2203
1.59,0.01,7.2674,21.2205
1.61,0.01,7.26739,21.2206
1.63,0.01,7.2674,21.2206
1.65,0.01,7.26742,21.2205
1.67,0.01,7.26745,21.2204
1.69,0.01,7.26749,21.2202
1.71,0.01,7.26754,21.22
1.73,0.01,7.26758,21.2198
1.75,0.01,7.26763,21.2196
1.77,0.01,7.26767,21.2194
1.79,0.01,7.26772,21.2192
1.81,0.01,7.26776,21.219
1.83,0.01,7.26781,21.2188
1.85,0.01,7.26785,21.2186
1.87,0.01,7.26789,21.2185
1.89,0.01,7.26793,21.2183
1.91,0.01,7.26797,21.2182
1.93,0.01,7.268,21.218
1.95,0.01,7.26803,21.2179
1.97,0.01,7.26806,21.2178
1.99,0.01,7.26809,21.2177
2.01,0.01,7.26812,21.2175
2.03,0.01,7.26815,21.2174
2.05,0.01,7.26817,21.2174
2.07,0.01,7.2682,21.2173
2.09,0.01,7.26822,21.2172
2.11,0.01,7.26824,21.2171
2.13,0.01,7.26826,21.2171
2.15,0.01,7.26828,21.217
2.17,0.01,7.2683,21.2169
2.19,0.01,7.26832,21.2169
2.21,0.01,7.26834,21.2168
2.23,0.01,7.26836,21.2168
2.25,0.01,7.26837,21.2167
2.27,0.01,7.26839,21.2167
2.29,0.01,7.2684,21.2167
2.31,0.01,7.26842,21.2166
2.33,0.01,7.26843,21.2166
2.35,0.01,7.26845,21.2166
2.37,0.01,7.26846,21.2166
2.39,0.01,7.26847,21.2165
2.41,0.01,7.26848,21.2165
2.43,0.01,7.26849,21.2165
2.45,0.01,7.2685,21.2165
2.47,0.01,7.26851,21.2164
2.49,0.01,7.26853,21.2164
2.51,0.01,7.26854,21.2164
2.53,0.01,7.26855,21.2164
2.55,0.01,7.26856,21.2164
2.57,0.01,7.26856,21.2164
2.59,0.01,7.26857,21.2163
2.61,0.01,7.26858,21.2163
2.63,0.01,7.26858,21.2163
2.65,0.01,7.26859,21.2163
2.67,0.01,7.26859,21.2163
2.69,0.01,7.2686,21.2163
2.71,0.01,7.26861,21.2163
2.73,0.01,7.26861,21.2163
2.75,0.01,7.26862,21.2163
2.77,0.01,7.26862,21.2163
