x,y,height,momentum_x
0.01,0.01,7.71664,18.5616
0.03,0.01,7.70362,18.6435
0.05,0.01,7.69066,18.7246
0.07,0.01,7.67778,18.8049
0.09,0.01,7.66498,18.8845
0.11,0.01,7.65226,18.9633
0.13,0.01,7.63963,19.0413
0.15,0.01,7.62709,19.1185
0.17,0.01,7.61464,19.1948
0.19,0.01,7.60229,19.2703
0.21,0.01,7.59005,19.3448
0.23,0.01,7.57792,19.4184
0.25,0.01,7.56591,19.4911
0.27,0.01,7.55402,19.5628
0.29,0.01,7.54226,19.6334
0.31,0.01,7.53063,19.703
0.33,0.01,7.51915,19.7715
0.35,0.01,7.50782,19.8389
0.37,0.01,7.49665,19.9052
0.39,0.01,7.48565,19.9702
0.41,0.01,7.47482,20.034
0.43,0.01,7.46418,20.0965
0.45,0.01,7.45374,20.1577
0.47,0.01,7.4435,20.2174
0.49,0.01,7.43348,20.2758
0.51,0.01,7.42368,20.3326
0.53,0.01,7.41412,20.3879
0.55,0.01,7.40481,20.4417
0.57,0.01,7.39577,20.4938
0.59,0.01,7.38699,20.5442
0.61,0.01,7.37849,20.5928
0.63,0.01,7.37028,20.6397
0.65,0.01,7.36238,20.6847
0.67,0.01,7.35479,20.7279
0.69,0.01,7.34752,20.7691
0.71,0.01,7.34059,20.8084
0.73,0.01,7.33399,20.8456
0.75,0.01,7.32773,20.8809
0.77,0.01,7.32182,20.9142
0.79,0.01,7.31627,20.9454
0.81,0.01,7.31107,20.9745
0.83,0.01,7.30622,21.0017
0.85,0.01,7.30173,21.0268
0.87,0.01,7.29758,21.05
0.89,0.01,7.29378,21.0713
0.91,0.01,7.2903,21.0906
0.93,0.01,7.28715,21.1082
0.95,0.01,7.28432,21.124
0.97,0.01,7.28178,21.1381
0.99,0.01,7.27952,21.1507
1.01,0.01,7.27752,21.1618
1.03,0.01,7.27578,21.1715
1.05,0.01,7.27426,21.1799
1.07,0.01,7.27296,21.1872
1.09,0.01,7.27184,21.1934
1.11,0.01,7.2709,21.1986
1.13,0.01,7.27012,21.203
1.15,0.01,7.26946,21.2067
1.17,0.01,7.26893,21.2096
